date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:16:55	197944/197944	---M-Z	200	added ('OK')	text/html	etag:%2230538-5fc78229-0;gz%22	https://softali.net/victor/wookie/html/index-skin-bicycle.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-skin-bicycle.html	(from https://softali.net/victor/wookie/html/index.html)
12:16:55	74981/74981	---M-Z	200	added ('OK')	text/html	etag:%22124e5-5fc78229-0;gz%22	https://softali.net/victor/wookie/html/index-skin-bikes.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-skin-bikes.html	(from https://softali.net/victor/wookie/html/index.html)
12:16:55	87115/87115	---M-Z	200	added ('OK')	text/html	etag:%221544b-5fc7822a-0;gz%22	https://softali.net/victor/wookie/html/index-skin-books.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-skin-books.html	(from https://softali.net/victor/wookie/html/index.html)
12:16:56	56756/56756	---M-Z	200	added ('OK')	text/html	etag:%22ddb4-5fc7822d-0;gz%22	https://softali.net/victor/wookie/html/index-skin-clothes.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-skin-clothes.html	(from https://softali.net/victor/wookie/html/index.html)
12:16:56	207940/207940	---M-Z	200	added ('OK')	text/html	etag:%2232c44-5fc7822c-0;gz%22	https://softali.net/victor/wookie/html/index-skin-carsshop.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-skin-carsshop.html	(from https://softali.net/victor/wookie/html/index.html)
12:16:56	121102/121102	---M-Z	200	added ('OK')	text/html	etag:%221d90e-5fc7822f-0;gz%22	https://softali.net/victor/wookie/html/index-skin-cosmetics.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-skin-cosmetics.html	(from https://softali.net/victor/wookie/html/index.html)
12:16:57	120676/120676	---M-Z	200	added ('OK')	text/html	etag:%221d764-5fc78231-0;gz%22	https://softali.net/victor/wookie/html/index-skin-food-02.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-skin-food-02.html	(from https://softali.net/victor/wookie/html/index.html)
12:16:57	174021/174021	---M-Z	200	added ('OK')	text/html	etag:%222a7c5-5fc78230-0;gz%22	https://softali.net/victor/wookie/html/index-skin-electronics.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-skin-electronics.html	(from https://softali.net/victor/wookie/html/index.html)
12:16:57	104012/104012	---M-Z	200	added ('OK')	text/html	etag:%221964c-5fc78232-0;gz%22	https://softali.net/victor/wookie/html/index-skin-furniture.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-skin-furniture.html	(from https://softali.net/victor/wookie/html/index.html)
12:16:58	98065/98065	---M-Z	200	added ('OK')	text/html	etag:%2217f11-5fc78233-0;gz%22	https://softali.net/victor/wookie/html/index-skin-glasses.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-skin-glasses.html	(from https://softali.net/victor/wookie/html/index.html)
12:16:58	91054/91054	---M-Z	200	added ('OK')	text/html	etag:%22163ae-5fc78234-0;gz%22	https://softali.net/victor/wookie/html/index-skin-gothic.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-skin-gothic.html	(from https://softali.net/victor/wookie/html/index.html)
12:16:58	102077/102077	---M-Z	200	added ('OK')	text/html	etag:%2218ebd-5fc78235-0;gz%22	https://softali.net/victor/wookie/html/index-skin-jewerly.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-skin-jewerly.html	(from https://softali.net/victor/wookie/html/index.html)
12:16:59	95605/95605	---M-Z	200	added ('OK')	text/html	etag:%2217575-5fc78235-0;gz%22	https://softali.net/victor/wookie/html/index-skin-kids-clothes.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-skin-kids-clothes.html	(from https://softali.net/victor/wookie/html/index.html)
12:16:59	158206/158206	---M-Z	200	added ('OK')	text/html	etag:%22269fe-5fc7823d-0;gz%22	https://softali.net/victor/wookie/html/index-skin-toys.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-skin-toys.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:00	63670/63670	---M-Z	200	added ('OK')	text/html	etag:%22f8b6-5fc78236-0;gz%22	https://softali.net/victor/wookie/html/index-skin-lingerie.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-skin-lingerie.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:00	151124/151124	---M-Z	200	added ('OK')	text/html	etag:%2224e54-5fc78236-0;gz%22	https://softali.net/victor/wookie/html/index-skin-medical.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-skin-medical.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:00	43656/43656	---M-Z	200	added ('OK')	text/html	etag:%22aa88-5fc78238-0;gz%22	https://softali.net/victor/wookie/html/index-skin-oneproducts03.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-skin-oneproducts03.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:01	63176/63176	---M-Z	200	added ('OK')	text/html	etag:%22f6c8-5fc78239-0;gz%22	https://softali.net/victor/wookie/html/index-skin-phones.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-skin-phones.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:01	70772/70772	---M-Z	200	added ('OK')	text/html	etag:%2211474-5fc78238-0;gz%22	https://softali.net/victor/wookie/html/index-skin-phone-cases.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-skin-phone-cases.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:01	89189/89189	---M-Z	200	added ('OK')	text/html	etag:%2215c65-5fc7823b-0;gz%22	https://softali.net/victor/wookie/html/index-skin-snowboards.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-skin-snowboards.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:02	125454/125454	---M-Z	200	added ('OK')	text/html	etag:%221ea0e-5fc7823e-0;gz%22	https://softali.net/victor/wookie/html/index-skin-weapons.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-skin-weapons.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:02	102104/102104	---M-Z	200	added ('OK')	text/html	etag:%2218ed8-5fc7823f-0;gz%22	https://softali.net/victor/wookie/html/index-skin-yoga.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/index-skin-yoga.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:02	84575/84575	---M-Z	200	added ('OK')	text/html	etag:%2214a5f-5fc78242-0;gz%22	https://softali.net/victor/wookie/html/listing-left-column.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/listing-left-column.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:03	84543/84543	---M-Z	200	added ('OK')	text/html	etag:%2214a3f-5fc78244-0;gz%22	https://softali.net/victor/wookie/html/listing-right-column.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/listing-right-column.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:03	84264/84264	---M-Z	200	added ('OK')	text/html	etag:%2214928-5fc78244-0;gz%22	https://softali.net/victor/wookie/html/listing-not-sidebar.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/listing-not-sidebar.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:03	96017/96017	---M-Z	200	added ('OK')	text/html	etag:%2217711-5fc78243-0;gz%22	https://softali.net/victor/wookie/html/listing-not-sidebar-full-width.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/listing-not-sidebar-full-width.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:03	92007/92007	---M-Z	200	added ('OK')	text/html	etag:%2216767-5fc78243-0;gz%22	https://softali.net/victor/wookie/html/listing-metro.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/listing-metro.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:04	86181/86181	---M-Z	200	added ('OK')	text/html	etag:%22150a5-5fc78242-0;gz%22	https://softali.net/victor/wookie/html/listing-left-column-with-block.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/listing-left-column-with-block.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:04	53661/53661	---M-Z	200	added ('OK')	text/html	etag:%22d19d-5fc78241-0;gz%22	https://softali.net/victor/wookie/html/listing-collection.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/listing-collection.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:04	70758/70758	---M-Z	200	added ('OK')	text/html	etag:%2211466-5fc78245-0;gz%22	https://softali.net/victor/wookie/html/lookbook.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/lookbook.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:05	73373/73373	---M-Z	200	added ('OK')	text/html	etag:%2211e9d-5fc7824d-0;gz%22	https://softali.net/victor/wookie/html/product.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/product.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:05	76140/76140	---M-Z	200	added ('OK')	text/html	etag:%221296c-5fc78249-0;gz%22	https://softali.net/victor/wookie/html/product-02.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/product-02.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:05	75105/75105	---M-Z	200	added ('OK')	text/html	etag:%2212561-5fc78249-0;gz%22	https://softali.net/victor/wookie/html/product-03.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/product-03.html	(from https://softali.net/victor/wookie/html/index.html)
